"","species","range","lat_poleward","abund","bleach","restore","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","clipperton","species_n"
"172","Echinopora mammiformis",0.332779563736975,0.829025430701446,1,0.8084,0.5,3,3,5,3,2,3,2,0,"Species 160"
"173","Echinopora pacificus",0.265100091640462,0.682399687551462,0.5,0.714,0.666666666666667,3,2,3,4,2,4,2,0,"Species 161"
"177","Euphyllia glabrescens",0.571624590322101,0.811909443136355,0.5,0.9725,0.833333333333333,1,4,1,3,4,1,1,0,"Species 162"
"179","Favites abdita",0.750292157976629,0.859269184293301,1,0.7397,0.833333333333333,1,4,2,3,4,1,1,0,"Species 163"
"180","Favites chinensis",0.592840886952781,0.770149386210001,0.5,0.5063,0.833333333333333,2,4,2,3,4,1,1,0,"Species 164"
"181","Favites colemani",0.35173795501786,0.646165895601858,1,0.7159,0.5,1,3,1,3,1,2,1,0,"Species 165"
"182","Favites complanata",0.651675297605473,0.865747681241783,1,0.7972,0.833333333333333,2,4,2,3,4,1,1,0,"Species 166"
"183","Favites flexuosa",0.700649339733891,0.866958967716222,1,0.5666,0.833333333333333,2,4,2,3,4,1,1,0,"Species 167"
"184","Favites halicora",0.580728415730381,0.861580657673573,0.5,0.7434,0.833333333333333,2,4,2,3,4,1,1,0,"Species 168"
"185","Favites magnistellata",0.76771198262646,0.793924239935504,0.5,0.7528,0.833333333333333,2,4,4,3,4,1,1,0,"Species 169"
"186","Favites pentagona",0.652725758144162,0.834812876191606,1,0.7293,0.833333333333333,2,3,2,2,3,1,1,0,"Species 170"
"187","Favites rotundata",0.413401337336397,0.79557353508179,1,0.6766,0.833333333333333,2,4,2,3,4,1,1,0,"Species 171"
"188","Favites valenciennesi",0.642552481955712,0.830852899626191,0.5,0.8186,0.833333333333333,2,3,2,3,3,1,1,0,"Species 172"
"189","Fungia fungites",0.343210440270161,0.821859222711413,1,0.8479,0.833333333333333,2,5,1,4,1,1,1,0,"Species 173"
