observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
134587,1,113,1374,Herpolitha limax,1,Global estimate,,,10,,175253,208,Genus fossil stage,10,cat,22,Derived from textual description,Pliocene,raw_value,,,,,
134590,1,113,1374,Herpolitha limax,1,Global estimate,,,201,281,175256,116,Genus fossil age,76,mya,22,Derived from textual description,1.81,raw_value,,,,,PNG consistent and checks with Hoeksema 1990
134589,1,113,1374,Herpolitha limax,1,Global estimate,,,201,,175255,116,Genus fossil age,76,mya,22,Derived from textual description,11.2,raw_value,,,,,
120174,1,49,1374,Herpolitha limax,1,Global estimate,,,745,,144198,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,5.19869238120189,model_derived,0.00171919953361632,standard_deviation,,1000,
134586,1,113,1374,Herpolitha limax,1,Global estimate,,,747,,175252,116,Genus fossil age,76,mya,22,Derived from textual description,5.3,raw_value,,,,,
134588,1,113,1374,Herpolitha limax,1,Global estimate,,,10,,175254,116,Genus fossil age,76,mya,22,Derived from textual description,5.3,raw_value,,,,,
134596,1,113,841,Heterocyathus aequicostatus,1,Global estimate,,,10,,175262,116,Genus fossil age,76,mya,22,Derived from textual description,5.3,raw_value,,,,,
134595,1,113,841,Heterocyathus aequicostatus,1,Global estimate,,,10,,175261,208,Genus fossil stage,10,cat,22,Derived from textual description,Pliocene,raw_value,,,,,
134592,1,113,841,Heterocyathus aequicostatus,1,Global estimate,,,748,,175258,116,Genus fossil age,76,mya,22,Derived from textual description,5.3,raw_value,,,,,
134591,1,113,841,Heterocyathus aequicostatus,1,Global estimate,,,748,,175257,208,Genus fossil stage,10,cat,22,Derived from textual description,Pliocene,raw_value,,,,,
134597,1,113,841,Heterocyathus aequicostatus,1,Global estimate,,,201,,175263,116,Genus fossil age,76,mya,22,Derived from textual description,11.2,raw_value,,,,,
134593,1,113,841,Heterocyathus aequicostatus,1,Global estimate,,,747,,175259,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene upper,raw_value,,,,,
134594,1,113,841,Heterocyathus aequicostatus,1,Global estimate,,,747,,175260,116,Genus fossil age,76,mya,22,Derived from textual description,11.2,raw_value,,,,,
119628,1,49,841,Heterocyathus aequicostatus,1,Global estimate,,,745,,143652,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.813148829011237,model_derived,0.753218957665165,standard_deviation,,1000,
134603,1,113,842,Heterocyathus alternatus,1,Global estimate,,,10,,175269,208,Genus fossil stage,10,cat,22,Derived from textual description,Pliocene,raw_value,,,,,
134600,1,113,842,Heterocyathus alternatus,1,Global estimate,,,748,,175266,116,Genus fossil age,76,mya,22,Derived from textual description,5.3,raw_value,,,,,
134599,1,113,842,Heterocyathus alternatus,1,Global estimate,,,748,,175265,208,Genus fossil stage,10,cat,22,Derived from textual description,Pliocene,raw_value,,,,,
134604,1,113,842,Heterocyathus alternatus,1,Global estimate,,,10,,175270,116,Genus fossil age,76,mya,22,Derived from textual description,5.3,raw_value,,,,,
