"","species","Ocean basin","Zooxanthellate","Growth form typical","Substrate attachment","Coloniality","Corallite width maximum","Mode of larval development","Sexual system","Colony maximum diameter","Growth rate","Symbiodinium sp. in propagules","Oocyte size at maturity","Skeletal density","Symbiodinium density","Calcification rate","Phosphorus concentration","Nitrogen concentration","Polyps per area","RNA:DNA ratio","Chlorophyll a","Total biomass","Protein biomass","Dark respiration","Polyp fecundity","Gross photosynthesis","Colony area","Lipid content","Size at maturity","Colony shape factor","Generation time","Age at maturity","Propagule size on release","Eggs per area","Mature egg diameter","Egg size","Ratio of female to male gonads","Abundance GBR","Water clarity preference","Species age phylogeny","Genus fossil age","Range size"
"51","Acropora fastigata","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rare","clear",1.33060517618054,52.44,8012282.214
"52","Acropora fenneri","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.42580407280718,52.44,3877334.04455
"53","Acropora filiformis","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.787208102559007,52.44,257656.448765
"54","Acropora florida","pacific","zooxanthellate","branching_open","attached","colonial",1.4,"spawner","hermaphrodite",1500,NA,NA,NA,NA,1890000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",3.79735420056447,52.44,50346268.88
"55","Acropora forskali","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.998762460197066,52.44,14460963.423
"56","Acropora gemmifera","pacific","zooxanthellate","digitate","attached","colonial",1.6,"spawner","hermaphrodite",NA,24,NA,NA,1.47,NA,1.42,NA,NA,126,NA,NA,NA,NA,NA,6.448,NA,483.947064753186,NA,59.42921586,6.81773413483573,NA,NA,NA,NA,NA,NA,1.22,"common","clear",0.693789873065717,52.44,59611099.49
"57","Acropora glauca","pacific","zooxanthellate","tables_or_plates","attached","colonial",1.3,"spawner","hermaphrodite",NA,NA,"no",NA,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rare","both",0.316054933373932,52.44,36147467.51
"58","Acropora globiceps","pacific","zooxanthellate","digitate","attached","colonial",2.1,NA,"hermaphrodite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.03575047328919,52.44,32105343.37
"59","Acropora gomezi","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.19787346085669,52.44,6072023.988
"60","Acropora grandis","pacific","zooxanthellate","branching_open","attached","colonial",1.7,"spawner","hermaphrodite",450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",2.17104827900871,52.44,51130568.88
"61","Acropora granulosa","pacific","zooxanthellate","tables_or_plates","attached","colonial",0.9,"spawner","hermaphrodite",75,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",0.865804445204572,52.44,52677407.315
"62","Acropora haimei","pacific","zooxanthellate","branching_closed","attached","colonial",NA,"spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.01626274845378,52.44,4515718.5985
"63","Acropora halmaherae","pacific","zooxanthellate","branching_open","attached","colonial",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",1.30342097310416,52.44,NA
